Active-HDL 10.3.3558.6081  2018-08-06 16:00:14

Elaboration top modules:
Verilog Module                Parallel2DSI_tb


----------------------------------------------------------------------------------------------------------
Verilog Module                    | Library     | Info | Compiler Version          | Compilation Options
lut40010                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut40011                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut40012                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
xo2iobuf                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
mfflsre                           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
xo2iobuf0013                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
IBPU                              | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
xo2iobuf0014                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
smuxlregsre                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
IFS1P3DX                          | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
FIFO8KB_B                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
inverter                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
FIFO8KB                           | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
FIFO8KB0015                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
FIFO8KB0016                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
GSR5MODE                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
BUFBA                             | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
SLICEb_0                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_1            | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_2            | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_3            | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_4            | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_5            | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_6            | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_7                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_8            | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_9            | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_10           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_11           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_12           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_13           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_PH_DLY_FIFO_SLICEb_14           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_15                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_16                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_17                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
SLICEb_18                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
